net_name,fpga_pin,connector pin
IO_B34_LP7,Y16,107
IO_B34_LN7,Y17,109
IO_B34_LP8,W14,108
IO_B34_LN8,Y14,110
IO_B34_LP9,T16,83
IO_B34_LN9,U17,85
IO_B34_LP10,V15,103
IO_B34_LN10,W15,105
IO_B34_LP11,U14,97
IO_B34_LN11,U15,99
IO_B34_LP12,U18,87
IO_B34_LN12,U19,89
IO_B34_LP13,N18,71
IO_B34_LN13,P19,73
IO_B34_LP14,N20,75
IO_B34_LN14,P20,77
IO_B34_LP15,T20,78
IO_B34_LN15,U20,80
IO_B34_LP16,V20,84
IO_B34_LN16,W20,86
IO_B34_LP17,Y18,104
IO_B34_LN17,Y19,106
IO_B34_LP18,V16,98
IO_B34_LN18,W16,100
IO_B34_LP19,R16,74
IO_B34_LN19,R17,76
IO_B34_LP20,T17,88
IO_B34_LN20,R18,90
IO_B34_LP21,V17,94
IO_B34_LN21,V18,96
IO_B34_LP22,W18,93
IO_B34_LN22,W19,95
IO_B34_LP23,N17,61
IO_B34_LN23,P18,63
IO_B34_LP24,P15,62
IO_B34_LN24,P16,64

IO_B35_LP1,C20,25
IO_B35_LN1,B20,27
IO_B35_LP2,B19,3
IO_B35_LN2,A20,5
IO_B35_LP3,E17,4
IO_B35_LN3,D18,6
IO_B35_LP4,D19,10
IO_B35_LN4,D20,12
IO_B35_LP5,E18,9
IO_B35_LN5,E19,11
IO_B35_LP6,F16,14
IO_B35_LN6,F17,16
IO_B35_LP7,M19,65
IO_B35_LN7,M20,67
IO_B35_LP8,M17,55
IO_B35_LN8,M18,57
IO_B35_LP9,L19,45
IO_B35_LN9,L20,47
IO_B35_LP10,K19,32
IO_B35_LN10,J19,34
IO_B35_LP11,L16,41
IO_B35_LN11,L17,43
IO_B35_LP12,K17,26
IO_B35_LN12,K18,28
IO_B35_LP13,H16,46
IO_B35_LN13,H17,48
IO_B35_LP14,J18,21
IO_B35_LN14,H18,23
IO_B35_LP15,F19,35
IO_B35_LN15,F20,37
IO_B35_LP16,G17,13
IO_B35_LN16,G18,15
IO_B35_LP17,J20,22
IO_B35_LN17,H20,24
IO_B35_LP18,G19,31
IO_B35_LN18,G20,33
IO_B35_LP19,H15,36
IO_B35_LN19,G15,38
IO_B35_LP20,K14,42
IO_B35_LN20,J14,44
IO_B35_LP21,N15,66
IO_B35_LN21,N16,68
IO_B35_LP22,L14,52
IO_B35_LN22,L15,54
IO_B35_LP23,M14,56
IO_B35_LN23,M15,58
IO_B35_LP24,K16,52
IO_B35_LN24,J16,53